track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,explicit_track
Stone Butterfly 2025,Legacy Cycle,A. Volkov,2/11/2022,USWL12200130,3758,22.1,409608018.0,35760.0,13777862.0,70.0,144073017.0,744920.0,121400.0,26034148.0,274609855.0,0
Deep Current 2025,Dark Matter,P. Singh,5/20/2022,QMRSZ2200986,1906,33.2,156975001.0,21559.0,5658951.0,68.0,96079749.0,597275.0,192794.0,29435568.0,313652545.0,0
Nova Protocol 2025,Chronicles Saga,O. Dubois,12/8/2017,USWL11700269,3441,23.3,579189526.0,60397.0,11805084.0,65.0,828853696.0,3086157.0,84450.0,21202350.0,158504854.0,0
Parallel Lines 2025,Final Chapter,H. Andersson,6/2/2023,QM6P42364524,671,58.8,44557662.0,9405.0,3224288.0,59.0,88674781.0,431451.0,2644100.0,87005227.0,1729443890.0,1
Iron Garden 2025,Origin Arc,J. Martinez,9/28/2023,GBMW42301521,2963,25.6,22552299.0,1850.0,2721792.0,,136381379.0,1340784.0,,,,0
Winter Echo 2025,Final Chapter,I. Hassan,7/21/2023,USAT22305730,1652,36.0,860026452.0,19743.0,10536844.0,67.0,51745.0,411.0,495200.0,203389233.0,2419873472.0,0
Deep Current 2025,Dark Matter,L. Nakamura,6/24/2020,QMEZE2076989,3265,24.1,335604759.0,47721.0,9209948.0,3.0,155802565.0,3846286.0,1961193.0,340937251.0,2759903957.0,0
Hollow Crown 2025,Origin Arc,S. Patel,6/17/2022,ITC6Q2200040,2761,26.7,120605300.0,50347.0,2257680.0,66.0,116373773.0,1063920.0,316335.0,18244859.0,261974228.0,1
Quantum Rain 2025,Origin Arc,A. Volkov,7/30/2021,USAT22104222,2733,26.9,248947222.0,70726.0,16159530.0,63.0,129102965.0,1676120.0,1494.0,372385.0,5258682.0,0
Kinetic Prayer 2025,Legacy Cycle,A. Volkov,11/29/2021,USRC12103471,1374,40.0,169074195.0,77071.0,7941140.0,59.0,121560768.0,904837.0,79231.0,28448143.0,214484764.0,1
Burning Atlas 2025,Chronicles Saga,R. Silva,7/21/2023,USAT22305736,4124,20.9,126219979.0,18525.0,2916952.0,60.0,28725678.0,608921.0,97794.0,79338367.0,560299833.0,0
Paper Kingdom 2025,Chronicles Saga,K. Olsen,1/31/2017,USUM71700626,119,142.2,3006226762.0,335880.0,89243475.0,81.0,4495059988.0,42240881.0,5745117.0,453132709.0,5876458723.0,0
Final Orbit 2025,Legacy Cycle,J. Martinez,6/12/2020,TCAEW2040509,1999,32.3,495274429.0,128838.0,28968321.0,63.0,78671735.0,609580.0,94400.0,23269837.0,354473655.0,1
Carbon Dreams 2025,Legacy Cycle,O. Dubois,3/25/2021,USUM72023902,1780,34.5,304116211.0,21517.0,8048081.0,72.0,692863553.0,2439195.0,186881.0,13802946.0,184413760.0,0
Paper Kingdom 2025,Final Chapter,Y. Tanaka,1/1/2010,USSM11002931,1113,45.1,1791778314.0,344490.0,131726745.0,81.0,599930123.0,5713061.0,786192.0,342804034.0,2757623631.0,0
Carbon Dreams 2025,Universe Zero,T. Kim,6/22/2023,FR6P12300670,4457,19.7,31038318.0,9392.0,2015738.0,57.0,100634134.0,570025.0,,,,1
Hollow Crown 2025,Legacy Cycle,S. Patel,8/18/2023,USRC12302098,2000,32.3,190634973.0,37824.0,13018777.0,79.0,12371887.0,154516.0,,,,1
Final Orbit 2025,Final Chapter,B. Carter,10/5/2018,USUM71813195,901,50.9,1269760706.0,137601.0,32384233.0,76.0,824308720.0,4676578.0,1213771.0,33512447.0,573562180.0,0
Midnight Cartel 2025,Legacy Cycle,A. Volkov,8/10/2017,SE5R71700101,3662,22.4,1074175360.0,135290.0,29277394.0,73.0,293084186.0,2973334.0,180391.0,19770288.0,229614343.0,1
Feral Harmony 2025,Origin Arc,C. Wright,12/31/2017,PKA0A1800272,2463,28.7,,1.0,11.0,,1651471016.0,9796166.0,,,,0
Hollow Crown 2025,Chronicles Saga,E. Brooks,1/19/2024,USRC12303405,3261,24.1,12032878.0,3204.0,6664877.0,,1683275.0,38016.0,,,,0
White Noise 2025,Universe Zero,Z. Ali,6/8/2018,USAT21802013,2232,30.3,390529605.0,68181.0,10506568.0,67.0,388438653.0,6747169.0,4480319.0,1314071004.0,15189209474.0,1
Northern Code 2025,Standalone,C. Wright,1/1/2013,GBCEL1300370,3008,25.4,1687828519.0,272010.0,71727595.0,80.0,527397003.0,5344645.0,8490.0,8308615.0,45596295.0,0
Jade Frequency 2025,Standalone,S. Patel,3/21/2023,QZWA32200112,3048,25.1,127806442.0,39971.0,12569591.0,69.0,,,,,,1
Glass Reactor 2025,Chronicles Saga,Q. Jensen,9/30/2016,TCACS1630643,2199,30.5,462055272.0,54302.0,17847539.0,71.0,1546120738.0,7974135.0,360400.0,75766885.0,648582782.0,1
Electric Mirage 2025,New Dawn,W. Stone,7/30/2023,QZNWX2385075,4528,19.6,36975805.0,2385.0,806413.0,,87923967.0,442748.0,233053.0,45997476.0,724187108.0,0
Glass Reactor 2025,Final Chapter,P. Singh,11/4/2022,USUG12208608,3399,23.5,143220845.0,57819.0,6493900.0,61.0,17892665.0,186286.0,8535.0,2306269.0,26577093.0,1
Solar Drift 2025,Legacy Cycle,F. Nguyen,2/8/2018,USUM71800892,4324,20.2,653490628.0,122994.0,17631951.0,62.0,97882796.0,935978.0,98865.0,47072411.0,314775951.0,1
Arctic Pulse 2025,Prime Story,C. Wright,5/4/2015,USUM71505606,4094,21.0,520407542.0,64298.0,14431993.0,66.0,648838091.0,2919414.0,3394835.0,66783189.0,523812670.0,1
Echo Chamber 2025,New Dawn,I. Hassan,1/5/2024,NL4LA2300002,4103,21.0,7506086.0,2054.0,1830094.0,,63598076.0,407070.0,,,,0
Burning Atlas 2025,Origin Arc,H. Andersson,12/3/2021,ZA34K2100657,1595,36.7,223634694.0,85051.0,6093468.0,62.0,172919874.0,1244703.0,725830.0,57078249.0,968182145.0,0
Jade Frequency 2025,Dark Matter,I. Hassan,4/12/2023,USAT22304032,3078,25.0,174154846.0,31199.0,4685875.0,14.0,152441.0,3007.0,,225.0,2771.0,0
Parallel Lines 2025,Standalone,B. Carter,6/10/2022,USRC12202117,1219,42.9,401066217.0,70661.0,51920160.0,69.0,54641192.0,657641.0,420.0,8253.0,172191.0,0
Burning Atlas 2025,Universe Zero,T. Kim,9/5/2017,TCADG1741539,4279,20.4,333141510.0,89320.0,8824592.0,66.0,598853994.0,8509686.0,27645.0,10827772.0,95172888.0,1
Stone Butterfly 2025,Dark Matter,O. Dubois,10/13/2023,QMFME2364185,3854,21.7,95925842.0,16712.0,10256270.0,,28849994.0,317982.0,,5399176.0,27249793.0,1
Crimson Archive 2025,Final Chapter,Q. Jensen,1/10/2024,RUA1H2415548,25,277.5,,1.0,2.0,,,,9453333.0,273236305.0,4306269694.0,0
Last Signal 2025,Open Sky,P. Singh,5/24/2024,USA2P2421303,1958,32.6,31453044.0,763.0,32866636.0,80.0,8834117.0,1274824.0,,,,1
Obsidian Heart 2025,Final Chapter,E. Brooks,1/1/2014,DEA621400286,4372,20.1,1074583619.0,152685.0,43023486.0,69.0,631896.0,5935.0,29628.0,15236347.0,138609613.0,0
Echo Chamber 2025,Origin Arc,T. Kim,7/10/2015,USAT21501777,2349,29.4,349538935.0,48604.0,10908000.0,67.0,147735161.0,2427913.0,12087056.0,218008359.0,2568929437.0,0
Electric Mirage 2025,Prime Story,G. Murphy,2/2/2024,USUG12400010,3128,24.7,56789868.0,12822.0,2975994.0,,1611737.0,30207.0,,,,1
White Noise 2025,Universe Zero,J. Martinez,5/3/2024,USUM72404717,3591,22.7,5588636.0,1252.0,7389987.0,,5680064.0,87918.0,,,,1
Hyperion Rise 2025,Open Sky,S. Patel,11/20/2020,QMCE32000678,4480,19.7,208151054.0,38294.0,10075280.0,59.0,218386390.0,2462386.0,632550.0,307941931.0,2020694174.0,1
Nova Protocol 2025,Universe Zero,M. Chen,3/5/2021,USAT22100906,161,120.1,1312168384.0,248793.0,50068571.0,75.0,993324548.0,9537455.0,1503567.0,369280607.0,3350704343.0,0
Broken Compass 2025,New Dawn,J. Martinez,9/21/2018,GBAHS1800674,3183,24.4,527760843.0,46844.0,12544188.0,59.0,684308632.0,3187514.0,567303.0,32541583.0,367325979.0,0
Crimson Archive 2025,Open Sky,T. Kim,9/7/2023,USSD12300253,3429,23.4,103722826.0,13322.0,11067087.0,,55495034.0,291171.0,90830.0,8610012.0,81845600.0,0
Digital Saints 2025,Origin Arc,O. Dubois,4/3/2020,USUM72002612,1694,35.5,427998483.0,56978.0,13109496.0,63.0,647941340.0,3317927.0,1196371.0,60004394.0,420502302.0,0
Echo Chamber 2025,Universe Zero,Y. Tanaka,3/3/2023,USSD12300040,510,68.2,528420867.0,59791.0,80570021.0,75.0,211317309.0,842146.0,252314.0,28930444.0,451806178.0,0
Stone Butterfly 2025,New Dawn,E. Brooks,9/6/2019,QM9WM1900144,3396,23.5,207093355.0,33813.0,5671029.0,55.0,683691095.0,3379761.0,333046.0,52979754.0,534205330.0,1
Desert Oracle 2025,New Dawn,T. Kim,4/10/2024,BXW922400001,3806,21.9,34042262.0,3323.0,20484664.0,74.0,11039801.0,333828.0,,,,1
Binary Sunset 2025,New Dawn,N. Fischer,3/17/2023,BCX5C2300005,2692,27.1,149455007.0,13028.0,12083352.0,17.0,185077693.0,990325.0,101800.0,22395889.0,272723903.0,1
Ghost Frequency 2025,Universe Zero,Y. Tanaka,6/6/2024,QM6MZ2489483,3315,23.8,5698784.0,846.0,15037150.0,67.0,,,,,,1
Echo Chamber 2025,New Dawn,Y. Tanaka,10/19/2018,USUM71903117,3375,23.6,625999943.0,100418.0,27719646.0,73.0,,,356553.0,51219101.0,415561032.0,1
Arctic Pulse 2025,Dark Matter,J. Martinez,12/15/2022,US39N2203950,526,66.9,415699405.0,131562.0,25729246.0,70.0,120716253.0,1505981.0,71800.0,43271885.0,459919455.0,1
Electric Mirage 2025,New Dawn,K. Olsen,6/11/2021,USA2P2120718,1748,34.9,449513936.0,160789.0,40271009.0,72.0,1063180.0,11919.0,310148.0,90949587.0,1286306864.0,0
Electric Mirage 2025,Open Sky,D. Rossi,5/17/2018,GBAHS1800328,1246,42.4,1042065058.0,114049.0,30877323.0,64.0,90354845.0,1452644.0,7280799.0,217591835.0,3283690900.0,0
Violet Engine 2025,Open Sky,Z. Ali,9/16/2022,SGB502250429,3130,24.7,546633.0,253.0,17668.0,28.0,98636.0,1771.0,2300556.0,14806470.0,276763604.0,1
Binary Sunset 2025,Prime Story,D. Rossi,2/20/2024,INM432400019,1892,33.4,6576855.0,307.0,62869.0,,66986452.0,456000.0,128600.0,774.0,6127.0,0
Desert Oracle 2025,Dark Matter,G. Murphy,12/15/2022,ES5152201707,1227,42.7,347558532.0,68744.0,34228107.0,67.0,151166424.0,705558.0,99164.0,14984269.0,323188246.0,0
Glass Reactor 2025,New Dawn,A. Volkov,6/27/2018,KRF221800012,4475,19.7,211581810.0,29803.0,3666168.0,63.0,137544172.0,1154680.0,4469485.0,209217443.0,3149064834.0,0
Burning Atlas 2025,Open Sky,Y. Tanaka,10/12/2019,USSM11912430,659,59.2,961358721.0,155959.0,47278163.0,65.0,1188737111.0,7547115.0,212737.0,22305262.0,307352160.0,1
Velvet Storm 2025,New Dawn,W. Stone,1/1/2014,USUM71409719,2610,27.6,899830382.0,96199.0,41829450.0,70.0,1288704058.0,6983846.0,131095.0,50779178.0,371404445.0,0
Arctic Pulse 2025,Chronicles Saga,T. Kim,7/4/2011,USQX91100801,2740,26.8,955547971.0,199078.0,33681550.0,76.0,310902280.0,2357811.0,83230.0,15376388.0,130023976.0,1
Golden Ratio 2025,New Dawn,S. Patel,1/17/2022,GBAHS2201001,2214,30.4,190872805.0,102679.0,49713000.0,61.0,4804721.0,64070.0,89852.0,35100872.0,435794732.0,0
Velvet Storm 2025,Standalone,H. Andersson,11/12/2021,USUG12103690,1912,33.1,842558786.0,55074.0,40675939.0,74.0,290178261.0,6813320.0,169911.0,110877621.0,743331968.0,1
Shadow Circuit 2025,New Dawn,E. Brooks,1/1/2014,USUM71405265,2338,29.5,1197774081.0,128593.0,56315096.0,65.0,580076338.0,3685849.0,91701.0,14356531.0,112554627.0,0
Neon Horizon 2025,Legacy Cycle,W. Stone,7/31/2020,TCAFA2047032,631,60.5,2947162.0,2732.0,204717.0,,12422083.0,154802.0,14006256.0,151549836.0,1846083524.0,0
Desert Oracle 2025,Chronicles Saga,A. Volkov,2/25/2014,USSD11300464,3583,22.7,562983225.0,52754.0,16157389.0,73.0,1452593496.0,4997178.0,261129.0,33076170.0,314778494.0,0
Shadow Circuit 2025,Origin Arc,N. Fischer,8/21/2014,USUM71409723,2243,30.2,1465918510.0,110953.0,65876311.0,77.0,1101895606.0,9106812.0,74689.0,39669684.0,285511671.0,0
Feral Harmony 2025,New Dawn,F. Nguyen,9/14/2010,USAT21001800,1960,32.6,636986949.0,141343.0,32621464.0,69.0,1110450147.0,6467597.0,4371.0,347404.0,5188475.0,1
Echo Chamber 2025,Standalone,Q. Jensen,1/1/2012,USRC11200785,3955,21.5,662971898.0,94974.0,33907759.0,74.0,990716604.0,4801576.0,626315.0,63289716.0,689599858.0,0
Velvet Storm 2025,Final Chapter,D. Rossi,7/23/2021,QMRSZ2101546,2268,30.0,143447350.0,22233.0,3205615.0,60.0,95029099.0,693003.0,2017.0,1558730.0,15893357.0,0
Desert Oracle 2025,Final Chapter,C. Wright,11/17/2023,QZTBF2315869,2021,32.1,139208438.0,13863.0,30279318.0,77.0,13279195.0,355386.0,277600.0,50901731.0,599656685.0,0
Desert Oracle 2025,Origin Arc,O. Dubois,3/21/2019,NOG841901010,2119,31.3,670068696.0,75834.0,16363220.0,67.0,665558958.0,11599426.0,1228819.0,61987054.0,713445624.0,1
Ghost Frequency 2025,Standalone,G. Murphy,5/31/2019,USUYG1257043,3659,22.4,320136804.0,70340.0,8592699.0,62.0,300606606.0,2725053.0,274439.0,65635809.0,415394142.0,1
Aurora Debt 2025,Legacy Cycle,J. Martinez,10/21/2016,USRC11601833,3885,21.7,441916342.0,47499.0,20527523.0,55.0,757432448.0,6966709.0,21746.0,4366102.0,26604065.0,0
Crimson Archive 2025,Universe Zero,Y. Tanaka,8/11/2023,QMCQK1900300,1298,41.3,107754524.0,16004.0,19123002.0,66.0,11577220.0,74756.0,52374.0,6216569.0,53554260.0,0
Desert Oracle 2025,Chronicles Saga,Q. Jensen,1/1/2008,USUM70807646,3629,22.5,1062571821.0,183102.0,83157868.0,74.0,566585521.0,2999671.0,135610.0,86779845.0,623454990.0,0
Stone Butterfly 2025,Dark Matter,I. Hassan,6/15/2017,USAT21700438,3492,23.1,1303018999.0,239.0,18020.0,26.0,,,,,,0
Infinite Margin 2025,Final Chapter,E. Brooks,3/24/2023,USWB12301125,3617,22.6,152454686.0,34461.0,5057389.0,65.0,,,,,,1
Jade Frequency 2025,Dark Matter,N. Fischer,1/22/2021,USAT22100132,2603,27.7,246949197.0,80591.0,7682255.0,64.0,62144315.0,935278.0,5645.0,715700.0,4922539.0,1
Glass Reactor 2025,Standalone,H. Andersson,9/1/2023,USUM72312706,3818,21.9,66513420.0,12490.0,4973699.0,,15485803.0,395896.0,31322.0,8225518.0,87668727.0,0
Paper Kingdom 2025,Chronicles Saga,K. Olsen,12/9/2022,USRC12204598,1091,45.9,561645790.0,58561.0,39587642.0,82.0,79127644.0,867545.0,61070.0,32412474.0,220878489.0,1
Stone Butterfly 2025,Universe Zero,S. Patel,2/2/2024,QZZ662413549,3726,22.2,54477192.0,3729.0,21277335.0,77.0,36326774.0,890834.0,,3460300.0,41400000.0,1
Shadow Circuit 2025,Open Sky,V. Popov,4/30/2021,USVPR2100046,993,48.2,218431985.0,56998.0,7122424.0,61.0,336505073.0,3901948.0,3595260.0,338445934.0,4731467896.0,0
Desert Oracle 2025,Legacy Cycle,T. Kim,5/4/2022,LBA132200641,2040,31.9,24195796.0,7751.0,520105.0,52.0,513974720.0,3902623.0,32737.0,1654100.0,40801186.0,0
Quantum Rain 2025,Universe Zero,D. Rossi,12/8/2017,ITB001700846,413,75.4,1601293263.0,358760.0,75186063.0,79.0,424132504.0,4191200.0,7717647.0,1765938944.0,18153723096.0,0
Neon Horizon 2025,Legacy Cycle,W. Stone,4/7/2023,BXG6R2300280,3801,21.9,131981248.0,15020.0,12049822.0,65.0,127960114.0,714022.0,27489.0,2506579.0,33156781.0,1
Ocean of Stars 2025,Prime Story,F. Nguyen,9/12/2019,FR96X1934664,1436,38.8,96829196.0,9383.0,1730849.0,58.0,1058000530.0,6138968.0,3510631.0,56260142.0,840026921.0,0
Obsidian Heart 2025,Standalone,O. Dubois,7/23/2021,USSM12104771,1791,34.4,499085551.0,64967.0,25228814.0,62.0,189120015.0,2445070.0,193708.0,100580695.0,864218422.0,0
Nova Protocol 2025,Origin Arc,Y. Tanaka,4/27/2018,QZ22S1800006,3466,23.2,609984789.0,66397.0,14589013.0,74.0,255780709.0,1101498.0,91600.0,18502723.0,142412314.0,0
Velvet Storm 2025,Standalone,S. Patel,6/17/2022,USUG12204890,873,51.7,253114498.0,111173.0,20965015.0,65.0,42397563.0,402014.0,188128.0,77604432.0,887138394.0,0
Neon Horizon 2025,Standalone,Q. Jensen,6/6/2024,USUM72404101,46,205.7,59314441.0,2572.0,183043096.0,83.0,22374807.0,1026097.0,,188200.0,1200000.0,1
Silver Transit 2025,Legacy Cycle,A. Volkov,5/30/2024,QZ9QQ2400330,1202,43.2,25593926.0,1247.0,63521139.0,78.0,7493616.0,162691.0,,,,0
Final Orbit 2025,Standalone,M. Chen,3/1/2019,USSD11900034,1997,32.3,614313540.0,55782.0,18750996.0,64.0,978997170.0,4042367.0,55400.0,6033109.0,48469382.0,1
Electric Mirage 2025,Legacy Cycle,V. Popov,6/4/2024,NL4TG2400013,3251,24.1,4794950.0,498.0,2896644.0,67.0,3452898.0,170142.0,,,,0
Infinite Margin 2025,Legacy Cycle,S. Patel,10/4/2019,USQX91902497,4034,21.2,836491531.0,114619.0,24572791.0,79.0,95215206.0,1310860.0,194090.0,197169982.0,1679330230.0,0
Ghost Frequency 2025,Open Sky,B. Carter,2/24/2024,ES71G2405104,3155,24.6,10459553.0,360.0,1242873.0,65.0,53298480.0,230317.0,,,,0
Obsidian Heart 2025,Legacy Cycle,L. Nakamura,2/23/2023,USAT22301679,1599,36.7,242528711.0,57228.0,39892662.0,72.0,31286296.0,367511.0,15539.0,13605648.0,115624415.0,1
Burning Atlas 2025,Legacy Cycle,C. Wright,5/11/2023,QM4TX2344810,3380,23.6,46615691.0,29693.0,4972570.0,54.0,6255853.0,83064.0,250198.0,50398483.0,758814572.0,0
Northern Code 2025,Dark Matter,K. Olsen,2/24/2022,BCDE52200008,3719,22.2,237867475.0,19268.0,14221320.0,61.0,302341579.0,1218262.0,,,,0
Crimson Archive 2025,Standalone,C. Wright,8/25/2023,QZPLS2390181,594,62.2,224798632.0,37906.0,25613376.0,,96276929.0,1777074.0,781267.0,222202542.0,2266242364.0,1
Infinite Margin 2025,Universe Zero,Z. Ali,10/19/2018,QMUY41800271,3875,21.7,433664050.0,78546.0,20739392.0,59.0,235890905.0,2265284.0,1037872.0,154355675.0,1344891926.0,0
Infinite Margin 2025,New Dawn,Z. Ali,4/15/2024,NL9KR2308498,4998,19.6,97901971.0,1.0,,,,,,,,0
Stone Butterfly 2025,Prime Story,V. Popov,11/17/2016,USAT21602948,378,79.3,2075459887.0,209632.0,84707015.0,80.0,2696139998.0,17077084.0,604526.0,100008149.0,704916578.0,0
Frozen Ledger 2025,New Dawn,V. Popov,5/3/2024,USUG12400909,201,107.3,65520394.0,8933.0,15896982.0,,36834647.0,1700363.0,,1542400.0,7700000.0,1
Ember Valley 2025,Origin Arc,A. Volkov,11/19/2021,USWD12112914,1204,43.2,318018082.0,41062.0,14552186.0,65.0,580242930.0,3471774.0,103897.0,128850291.0,1100134488.0,0
Silver Transit 2025,Origin Arc,A. Volkov,1/1/2014,GBUM71400597,1630,36.3,724486951.0,89470.0,32447335.0,61.0,1253153682.0,6766774.0,49460.0,14054713.0,155148335.0,1
Aurora Debt 2025,Origin Arc,E. Brooks,9/19/2023,BC8182300165,4412,19.9,100530093.0,14992.0,19070923.0,,40396492.0,385259.0,162.0,30440.0,300988.0,1
Binary Sunset 2025,Origin Arc,O. Dubois,8/24/2023,QM3DF2276204,2538,28.1,188309858.0,15111.0,13192945.0,71.0,87069499.0,318350.0,100.0,1927.0,18855.0,0
Kinetic Prayer 2025,Legacy Cycle,K. Olsen,3/28/2024,USWL12400695,1919,33.0,39876490.0,5502.0,29909107.0,70.0,22359938.0,133504.0,,,,1
Aurora Debt 2025,Prime Story,K. Olsen,10/27/2023,USA2P2349660,763,55.4,279667395.0,23583.0,16220736.0,78.0,93707680.0,1139367.0,316771.0,152082704.0,1178951518.0,0
Jade Frequency 2025,Standalone,Z. Ali,8/25/2023,QZ7R42353128,2736,26.9,63748913.0,11841.0,9184869.0,60.0,109386782.0,532629.0,13700.0,438906.0,4695060.0,1
Violet Engine 2025,New Dawn,B. Carter,5/17/2019,USUM71908293,2322,29.7,1367265268.0,135811.0,46929639.0,75.0,174911891.0,749591.0,103451.0,12539244.0,109739416.0,0
Kinetic Prayer 2025,Chronicles Saga,E. Brooks,3/28/2017,ITD541500554,693,58.0,473328.0,17.0,2117.0,7.0,3777105479.0,15214286.0,,,,0
Echo Chamber 2025,Universe Zero,A. Volkov,4/7/2022,QM4TX2261587,1385,39.8,122568157.0,29662.0,6577251.0,64.0,208114605.0,1550438.0,2465021.0,817858920.0,9097455103.0,1
Velvet Storm 2025,Open Sky,C. Wright,3/3/2023,QZ5AB2358733,3872,21.7,18550706.0,2537.0,558526.0,50.0,159688005.0,376830.0,304800.0,4292828.0,117607339.0,0
Infinite Margin 2025,Standalone,N. Fischer,5/6/2022,QM6MZ2214883,1745,34.9,591704263.0,65115.0,16254572.0,71.0,179847217.0,1213273.0,120800.0,26994022.0,266064027.0,1
Silent Protocol 2025,Legacy Cycle,R. Silva,2/4/2022,USWB12105880,3606,22.6,128264127.0,34856.0,14539064.0,57.0,57252735.0,907529.0,4321.0,1049186.0,20590526.0,0
Midnight Cartel 2025,Final Chapter,L. Nakamura,2/7/2020,QM24S1927163,4264,20.4,556176640.0,86180.0,14946584.0,75.0,53515473.0,406554.0,59652.0,39850870.0,203313460.0,1
Final Orbit 2025,Prime Story,Q. Jensen,4/19/2024,GBARL2400420,3804,21.9,13712090.0,3148.0,14042635.0,,3889395.0,76350.0,,,,1
Last Signal 2025,Origin Arc,N. Fischer,5/24/2024,USUM72404007,2623,27.5,15062636.0,1446.0,39911356.0,75.0,4507011.0,112133.0,1034.0,570876.0,6372350.0,0
Thunder Archive 2025,Origin Arc,R. Silva,5/10/2019,QM9WM1900130,3511,23.0,415170963.0,57071.0,15542644.0,63.0,618739499.0,3018799.0,106464.0,10874942.0,72178937.0,1
Winter Echo 2025,Universe Zero,Q. Jensen,8/17/2018,GBARL1801049,1711,35.3,1036104210.0,125480.0,39427143.0,69.0,656926852.0,3449298.0,17106.0,3825116.0,27087495.0,0
City of Glass 2025,New Dawn,C. Wright,12/14/2023,QMFMG2300652,2335,29.5,42043071.0,9916.0,8275134.0,,55659616.0,244536.0,,,,0
Stone Butterfly 2025,Origin Arc,E. Brooks,7/16/2021,USRC12101473,2476,28.6,181529121.0,36504.0,12624326.0,60.0,235286963.0,3057740.0,117317.0,51611106.0,406413864.0,1
Final Orbit 2025,Prime Story,N. Fischer,1/12/2023,USSM12209777,4,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,10629796.0,7189811.0,1078757968.0,14603725994.0,0
Deep Current 2025,New Dawn,R. Silva,3/15/2024,INZ031414584,3331,23.8,12044437.0,361.0,1194858.0,,46011423.0,1888358.0,,,,0
Ember Valley 2025,New Dawn,C. Wright,2/7/2024,QZZU32400012,2474,28.7,42027577.0,7316.0,25238956.0,,42037919.0,380896.0,,,,1
Aurora Debt 2025,Standalone,H. Andersson,9/15/2023,USQX92305198,1420,39.1,79871904.0,18919.0,14210017.0,,29393085.0,165299.0,262.0,2695609.0,12375164.0,1
Glass Reactor 2025,New Dawn,B. Carter,4/24/2024,JPB602401000,3101,24.8,13407929.0,208.0,2121169.0,69.0,26313692.0,118371.0,415.0,,,0
Thunder Archive 2025,Standalone,E. Brooks,4/14/2023,NOFGR2331100,3438,23.3,11960.0,69.0,4543.0,2.0,234911523.0,836587.0,,,,0
Crystal Fault 2025,Prime Story,S. Patel,5/8/2023,KRA302300145,1570,37.0,133536914.0,12910.0,7751540.0,63.0,259267584.0,1817066.0,42118.0,29633431.0,236752341.0,0
Echo Chamber 2025,Dark Matter,T. Kim,7/22/2020,USAT22004479,1039,47.1,716319941.0,98905.0,32882211.0,65.0,460154791.0,3442896.0,522107.0,149900995.0,1506051452.0,0
Velvet Storm 2025,Open Sky,G. Murphy,12/1/2021,KRA382163861,2407,29.0,306760464.0,23542.0,9642342.0,66.0,458931624.0,5675068.0,121090.0,160432414.0,1292286614.0,0
Jade Frequency 2025,Chronicles Saga,N. Fischer,11/19/2017,BRWMB0700761,3279,24.0,678928131.0,57167.0,19566520.0,72.0,775603021.0,5185313.0,272600.0,72091395.0,567535888.0,0
Midnight Cartel 2025,Origin Arc,T. Kim,7/13/2018,CA5KR1821202,2668,27.3,523954769.0,213614.0,31880596.0,67.0,96992359.0,915175.0,44648.0,32897654.0,313069043.0,0
Quantum Rain 2025,Chronicles Saga,W. Stone,8/5/2016,USHM21617726,3325,23.8,597718233.0,172980.0,21596820.0,76.0,152225528.0,2379610.0,427031.0,256949531.0,1985146213.0,0
Quantum Rain 2025,Standalone,R. Silva,4/23/2021,USUM72105621,2518,28.2,138100044.0,64635.0,5451499.0,56.0,168383616.0,1456308.0,30274.0,13135047.0,94781829.0,1
Iron Garden 2025,Final Chapter,T. Kim,5/11/2023,QMRSZ2300359,4125,20.9,95946720.0,13156.0,15537858.0,6.0,,,,,,0
Crimson Archive 2025,Origin Arc,W. Stone,6/25/2021,USRC12101540,2454,28.8,599547543.0,90475.0,27073255.0,70.0,154979267.0,2179826.0,139585.0,104260172.0,557527051.0,1
Frozen Ledger 2025,Standalone,E. Brooks,8/6/2022,SGB502231965,1017,47.6,1858478.0,581.0,37113.0,28.0,163462.0,3981.0,5101153.0,88338099.0,1420793896.0,0
Golden Ratio 2025,Universe Zero,M. Chen,5/30/2024,BKA7Y2400034,2575,27.9,3582494.0,506.0,20021976.0,64.0,8320170.0,107335.0,,,,0
Broken Compass 2025,Origin Arc,W. Stone,12/25/2023,TCAHS2392343,2694,27.1,,121.0,660.0,,,,,7381338.0,94798200.0,1
Broken Compass 2025,Origin Arc,Y. Tanaka,7/12/2018,USUM71809132,571,63.7,1736530084.0,174867.0,50426363.0,73.0,885823017.0,4489619.0,133341.0,12574029.0,116720227.0,0
Burning Atlas 2025,Origin Arc,S. Patel,6/5/2015,GB28K1500038,3506,23.0,24407534.0,2389.0,473657.0,29.0,1753379058.0,9702237.0,,,,0
Feral Harmony 2025,Open Sky,T. Kim,9/20/2015,USCM51500300,2994,25.5,820380309.0,115960.0,29602345.0,64.0,148373482.0,954330.0,1239950.0,5335752.0,33118908.0,1
Feral Harmony 2025,Origin Arc,F. Nguyen,7/24/2015,GBUM71406894,1617,36.5,1532640437.0,238.0,104606.0,6.0,2536191191.0,15112588.0,,,,0
Arctic Pulse 2025,Prime Story,H. Andersson,3/22/2024,USSM12402041,14,308.2,355186436.0,43025.0,108168634.0,88.0,98081493.0,1456177.0,,,,1
